AH3QC2PC1VTGP	0000143561	2.0
AVIY68KEPQ5ZD	0000143588	5.0
A1CV1WROP5KTTW	0000589012	5.0
A3NMBJ2LCRCATT	0000589012	5.0
A5Y15SAOMX6XA	0000589012	2.0
A3P671HJ32TCSF	0000589012	5.0
A3VCKTRD24BG7K	0000589012	5.0
ANF0AGIV0JCH2	0000589012	5.0
A1R2XZWQ6NM5M1	0000589012	5.0
A36L1XGA5AQIJY	0000589012	1.0
AVIY68KEPQ5ZD	0000143588	5.0
AVIY68KEPQ5ZD	0000143588	5.0
AH3QC2PC1VTGP	0000143561	2.0
AVIY68KEPQ5ZD	0000143588	5.0
A1CV1WROP5KTTW	0000589012	5.0
A3NMBJ2LCRCATT	0000589012	5.0
A5Y15SAOMX6XA	0000589012	2.0
A3P671HJ32TCSF	0000589012	5.0
A3VCKTRD24BG7K	0000589012	5.0
ANF0AGIV0JCH2	0000589012	5.0
A1R2XZWQ6NM5M1	0000589012	5.0
A36L1XGA5AQIJY	0000589012	1.0
AVIY68KEPQ5ZD	0000143588	5.0
AVIY68KEPQ5ZD	0000143588	5.0
AH3QC2PC1VTGP	0000143561	2.0
AVIY68KEPQ5ZD	0000143588	5.0
A1CV1WROP5KTTW	0000589012	5.0
A3NMBJ2LCRCATT	0000589012	5.0
A5Y15SAOMX6XA	0000589012	2.0
A3P671HJ32TCSF	0000589012	5.0
A3VCKTRD24BG7K	0000589012	5.0
ANF0AGIV0JCH2	0000589012	5.0
A1R2XZWQ6NM5M1	0000589012	5.0
A36L1XGA5AQIJY	0000589012	1.0
AVIY68KEPQ5ZD	0000143588	5.0
AVIY68KEPQ5ZD	0000143588	5.0
AH3QC2PC1VTGP	0000143561	2.0
AVIY68KEPQ5ZD	0000143588	5.0
A1CV1WROP5KTTW	0000589012	5.0
A3NMBJ2LCRCATT	0000589012	5.0
A5Y15SAOMX6XA	0000589012	2.0
A3P671HJ32TCSF	0000589012	5.0
A3VCKTRD24BG7K	0000589012	5.0
ANF0AGIV0JCH2	0000589012	5.0
A1R2XZWQ6NM5M1	0000589012	5.0
A36L1XGA5AQIJY	0000589012	1.0
AVIY68KEPQ5ZD	0000143588	5.0
AVIY68KEPQ5ZD	0000143588	5.0
